id_starname,dr3_source_id,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,feh,feh_err,feh_prov,ruwe
tic119638424,2954148943654049408,12.048457,0.003223,11.195795,0.003984,4.4520459999999,0.015000000000000001,0.0569790231618974,0.15,Poly,1.075
tic437242640,3537110837630877568,10.546549,0.002829,9.700713,0.003787,7.6510240000000005,0.0164,0.1800291973218533,0.15,Poly,0.855
tic342375120,5851691833256275200,13.016062,0.00284,12.070909,0.003818,1.1921109999999,0.0107,,,None,0.797
tic35855047,5408634143857538048,12.476389,0.002824,11.618378,0.003788,2.851051,0.0086,0.0974856199156803,0.15,Poly,0.807
tic340700241,5295562704512589824,14.110518,0.002892,13.234962,0.003811,1.135235,0.0384,-0.2006288749690412,0.15,Poly,3.386
tic352151292,2184447274726127104,13.609654,0.002876,12.744755,0.003809,1.335527,0.0099,0.1904451141315339,0.15,Poly,1.01
tic11417087,5658703215881980672,12.34899,0.003032,11.428664,0.00387,4.279756,0.018,0.199193240524524,0.15,Poly,1.426
tic233465389,1387354391725276288,12.320887,0.002844,11.385614,0.003796,3.9588339999999995,0.0106,0.3332750238234032,0.15,Poly,0.92
tic99493790,6804708139515008640,12.550603,0.004585,11.623638,0.00468,3.659176,0.0194,0.1093489370500337,0.15,Poly,1.115
tic401704685,6347982627225283072,13.537553,0.002952,12.666435,0.003827,1.473359,0.0103,-0.0416765910032577,0.15,Poly,1.031
tic195093356,1872393569673577856,12.656156,0.003697,11.788793,0.004111,3.36389,0.0098,0.0104971664287392,0.15,Poly,0.929
tic231912935,4900600363827037184,11.289997,0.002955,10.446223,0.003818,6.002115,0.011399999999999999,0.1897017779822709,0.15,Poly,0.811
tic433144048,334361627742690176,13.835752,0.004988,12.979111,0.004539,0.7970889999999999,0.0159,-0.0669567311370817,0.15,Poly,1.148
tic373033374,5244907310475672704,13.352726,0.002927,12.412834,0.003804,2.27914,0.014199999999999999,-0.0114117522090806,0.15,Poly,1.128
tic366698929,3895155872817606272,13.463693,0.002841,12.518863,0.003825,2.4623209999999998,0.015400000000000002,0.2804495438597811,0.15,Poly,0.942
tic294395926,5490097505810081024,11.782627,0.002884,10.860847,0.003794,4.852114,0.012799999999999999,0.3235540707371296,0.15,Poly,0.903
