id_starname,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_feh,iso_feh_err1,iso_feh_err2,iso_mass,iso_mass_err1,iso_mass_err2,iso_rad,iso_rad_err1,iso_rad_err2,iso_rho,iso_rho_err1,iso_rho_err2,iso_lum,iso_lum_err1,iso_lum_err2,iso_age,iso_age_err1,iso_age_err2,iso_dis,iso_dis_err1,iso_dis_err2,iso_avs
kic11656721,5447.516079304533,108.98105146360103,-126.98500779912864,4.503743105890576,0.0420009673864418,-0.068521101063478,-0.0340532737039557,0.136350516298965,-0.1318999874099218,0.8912600861735226,0.0433045738473268,-0.0580320951287751,0.870457779618762,0.0406355924336025,-0.0299312138931665,1.3293419710367875,0.1796444050978991,-0.2434026324149694,0.6080559872608864,0.0255477001662594,-0.0239719032253798,5.652,7.537,-4.288,767.5556645432023,14.922684697944078,-14.219617550699695,0.1372560237183675
kic11853905,6060.8450461952425,190.9971695412405,-188.88641693482805,4.178745890838927,0.0621914791221547,-0.0735693640421066,0.1073608289830475,0.1401458405929443,-0.1667486534134561,1.1971780951374562,0.048843261646706,-0.0837189365770483,1.4603667104296365,0.0819115688866596,-0.0720875579781812,0.3732572240629472,0.0791129557041632,-0.0736861711020836,2.6377601875719114,0.1158382428944553,-0.1071484650450149,3.764,2.606,-1.499,493.1951538058138,7.535650281818505,-7.237299224263438,0.1098048230652425
kic11669239,5535.821167997615,141.72259996765115,-145.79060825078523,4.451814321244587,0.0666051497892246,-0.0762406191903757,-0.1967888409166113,0.1324943467265341,-0.138402298690603,0.8511244091501415,0.0645378163348621,-0.0789267324323644,0.897338941067108,0.0460329624365265,-0.0391358850588474,1.1412680191039426,0.2448182958658853,-0.2295606890267012,0.6909912291152408,0.027392321563349,-0.0261315887254965,9.624,7.893,-6.543,684.0754234428749,12.12217403452587,-11.544144903110578,0.0549024115326212
kic10600261,5836.461117905924,118.93069680207827,-142.03988553793897,4.427345086954501,0.0393452049165556,-0.0622121221052003,0.0322900419370143,0.142852858543922,-0.1354139747287481,1.0343883386534365,0.0395090104852766,-0.0755855605310767,1.0230297457677724,0.0450434204067435,-0.0340892547410995,0.9491202372841536,0.1207382439110091,-0.1602844886882468,1.103691267079261,0.0608550325842374,-0.057265923844149,3.256,4.179,-2.453,1101.3969203655663,26.60195612339362,-25.74564275868284,0.1921584454773601
kic10656823,5190.859029615987,93.13828245246988,-95.38767453384936,4.5545504710613,0.0321779469295098,-0.0550564741207919,-0.0122191271909342,0.1413923808473834,-0.133041718072996,0.8375013229077858,0.0366922800839414,-0.0432095378801646,0.7988088972526304,0.0301626066129231,-0.0252743977912759,1.628781206235527,0.1744761124620157,-0.2426549317883615,0.4212263124919779,0.015532924315302,-0.0148531315855561,5.45,7.914,-4.23,653.0399548779885,11.744691208562015,-11.394695066567351,0.1098048230652425
kic10676824,5889.345132230801,121.11716203635751,-140.75984130336474,4.427681747858243,0.03796105578395,-0.0612604266216774,-0.0150024464330925,0.1368762793028881,-0.1331229811726782,1.034119621379836,0.0414148420712692,-0.0632025451561059,1.0237138804146366,0.0441428511538946,-0.0335546060823759,0.9492199070696972,0.1170219947124739,-0.1579286578776506,1.1457836768825542,0.0617039213266703,-0.0585977099844623,3.048,4.012,-2.303,1050.0116947986348,24.431459788464736,-23.83348310707948,0.2470608467836101
kic10718726,6006.62148894669,145.18297746075314,-165.98690864392756,4.368634655719819,0.0533030772408729,-0.070664881723264,-0.0792943914032699,0.1342303902578193,-0.1403687258989771,1.0478823276262028,0.0651469041313417,-0.0777108013953514,1.100532733109764,0.0561835161222261,-0.0437129760963064,0.7698660751284143,0.1323472291393479,-0.1470055614010844,1.435524658425885,0.08495683600068,-0.0790354810802,3.829,3.897,-2.699,1172.7030191222043,29.359543631145925,-28.57984145546629,0.2196096461304851
kic12470954,5486.861131334794,99.01259569994365,-127.2555571074945,4.464711191449151,0.0428853159845035,-0.0702258728567555,0.1931505827745148,0.1233081994533439,-0.1349209899370753,0.9549311258937082,0.0588478076159707,-0.0586142236459314,0.9455068888588026,0.0453602966254278,-0.0291196103247444,1.1186665965065743,0.1501969995627097,-0.2110183381753091,0.7381811431122269,0.027616131520632,-0.0257738745303832,4.968,6.365,-3.754,687.6756699176457,11.694288715971425,-11.492416829168064,0.1372560237183675
kic2438264,5004.623743216802,78.21347683845397,-84.48600099786381,4.555494893567372,0.0351868901713778,-0.0565251316945225,0.1179943193159421,0.1328964245588298,-0.1410235582062916,0.8180064170844744,0.0399738030757564,-0.0423084321522225,0.7886422673808573,0.0288522916437889,-0.0229870400985514,1.6549422845037276,0.1845003013639325,-0.2510430145351636,0.3543868853055205,0.0108986746851243,-0.0103637572091545,7.075,9.162,-5.425,437.0768978019778,6.633672813989392,-6.437674356378807,0.1098048230652425
kic4454752,5235.254964151199,88.8052159760482,-90.23153547164566,4.55624560784262,0.0269076152879055,-0.0481547664974781,0.0249286493460667,0.1476611871396297,-0.1391280256979803,0.8564105865742164,0.0397823671397863,-0.0419975888357569,0.8091850803424819,0.0276890664008293,-0.0246129484848364,1.6160975228922063,0.1479307923572139,-0.212996282563429,0.4465203716175184,0.0153016250235128,-0.0148344460592048,4.157,6.533,-3.247,534.9932901098554,8.831228465114236,-8.684292785095863,0.2745120474367351
kic4757437,5959.713655866146,165.39478218472686,-179.96247800047786,4.294926515733231,0.0667454571248988,-0.0746294361197419,0.0139660311173433,0.144363645348149,-0.1371643827109018,1.069621547831321,0.0822338136288918,-0.0775793157403805,1.2092465806931916,0.0683108103969662,-0.0592659107872561,0.5895276866756397,0.1320220014893467,-0.1182218516414127,1.6787646386684296,0.1057166284316077,-0.0977132271977807,4.935,3.6,-2.959,1218.2865183595825,33.41862539785666,-32.38768391976828,0.0863704536166312
kic11823054,5162.664005776849,90.46681511334371,-93.67568250107888,4.559781874582555,0.0313354955395297,-0.0537529200471507,-0.0146895225941716,0.1423876466215407,-0.1352364357107442,0.8331719237605524,0.0234349926221116,-0.054463136500971,0.7909604127156121,0.0295343874340875,-0.025088847295382,1.6654163605326449,0.1725670418122096,-0.2419522584384532,0.4039748346920477,0.0141922897987407,-0.0132271046501711,5.419,7.988,-4.215,601.7661048566307,10.206231600012302,-9.818929838058466,0.1647072345978638
kic7017274,6567.702921220874,206.85236322766195,-190.98976367103933,3.955344112930245,0.0526465083582263,-0.0498050600738766,0.0485798353640688,0.1569753230845715,-0.12530347247111,1.5430179006385945,0.05309911807388,-0.0481958138340441,2.130979961543852,0.1030117609851646,-0.1023438584520426,0.1537971271317351,0.0277955897503264,-0.0240306289139703,7.716616254868754,0.3441626257541532,-0.3232848940623185,1.96,0.37,-0.384,717.6321868135258,11.361625829480886,-11.01032905281761,0.1372560237183675
kic12058931,6015.3813623225815,188.7331816006717,-168.79014955749517,4.217358916886223,0.066764447689013,-0.0716262147536852,0.0361849731699231,0.152233370548195,-0.1492041952101409,1.1327275276804436,0.0611850957526352,-0.0842840998296461,1.3576818460925222,0.0750243594296804,-0.0742555827927948,0.4378085592783755,0.1027004150352321,-0.0834504587131036,2.204238674960841,0.1493119139201049,-0.1377188306196748,4.632,2.795,-2.052,1565.315490436234,46.46944109982155,-45.378468869371545,0.1098048230652425
kic9957627,5793.1800234342245,120.65407802708978,-138.3595326344821,4.456681511941419,0.042356408329363,-0.0661636968946117,-0.1240354756261224,0.1311648196467058,-0.1354005493788483,0.9550737537154902,0.0551098425093142,-0.0604756475278438,0.953686693769744,0.0421070696174393,-0.0312074667192715,1.088977652995579,0.1463473391151117,-0.1917425265973604,0.9321162274221196,0.0408289446696986,-0.0376135665879822,4.184,5.252,-3.128,788.1298600388204,13.98980144887014,-13.796436133935115,0.0823536172989319
kic9958962,5562.294160691424,106.06627125098656,-118.43094317596116,4.494878611016568,0.0345689673545059,-0.0596170374614271,0.0146619013525476,0.1389053481879527,-0.1340621672424043,0.9357624680937572,0.0389662933088458,-0.0600068650449284,0.9054784504768016,0.0374765773546754,-0.0291670638560397,1.2531009704098663,0.1412268506500191,-0.2023638948314101,0.7129775726191495,0.0364078045657887,-0.0344314561724791,3.967,5.672,-3.058,926.5397744110866,21.682318444408907,-20.933423169235425,0.1098048230652425
kic3745690,5977.280025265742,112.57671711585316,-126.58457845044722,4.433089226743037,0.0311514051300783,-0.0523477676604144,-0.0516390000612258,0.1333293155007347,-0.1285992332258879,1.055744622994381,0.0408948392327195,-0.0604121468465653,1.0277893801213205,0.0370738776725541,-0.0292634917190264,0.9588130610651632,0.0959963215228146,-0.1370382315448773,1.223661842409993,0.0541206863037007,-0.0509521880837369,2.274,3.26,-1.748,753.7577131143644,12.98500243949411,-12.86192972757692,0.2745120474367343
kic3833007,6177.972848310335,187.6971454485638,-186.1629009557946,4.281514796324072,0.0630336527951236,-0.0723468577038985,-0.1202908754246622,0.1511031013472116,-0.1341162939698316,1.1104304002359149,0.0687068082435311,-0.0797928307890938,1.2498076751255045,0.0687134392323172,-0.0590031559499717,0.5532513948582264,0.1168625893738786,-0.108448760760696,2.0773471417753577,0.1187507668406215,-0.1095683842200121,3.709,2.911,-2.213,999.316951560992,22.276570992941743,-21.927548270487023,0.3294144691957277
kic3847138,5823.213335726127,109.28605606647488,-112.45970714891156,4.504234489672198,0.0245722029945714,-0.0436776232128446,-0.1643102576782658,0.1314815098072386,-0.1296230901660466,0.9546157879954096,0.0400462933911101,-0.0385367278555204,0.9067943191001951,0.0292782861555279,-0.0240254596509844,1.2784640967020642,0.1074833213787154,-0.1530738010744858,0.8571318060097463,0.0361610342866265,-0.0335712953408914,2.22,3.611,-1.741,653.0389384593482,11.025812005654984,-10.7908198151614,0.3033160694775579
